Unnamed: 0,do,did,is doing,was doing,want to do,wanted to do,can do,could do,It's ok do,It was ok do,please do,I do and...,let's do,shall I do?,order
do,する,した,している,していた,したい,したかった,できる,できた,してもいい,してもよかった,して,して,しよう,しようか？,しろ
,しない,しなかった,していない,していなかった,したくない,したくなかった,できない,できなかった,しなくてもいい,しなくてもよかった,しないで,しないで,,,するな
,します,しました,しています,していました,したいです,したかったです,できます,できました,してもいいです,してもよかったです,してください,しまして,しましょう,しましょうか？,しなさい
,しません,しませんでした,していません,していませんでした,したくないです,したくなかったです,できません,できませんでした,しなくてもいいです,しなくてもよかったです,しないでください,しませんでして,,,してはいけません
eat,食べる,食べた,食べている,食べていた,食べたい,食べたかった,食べられる,食べられない,食べてもいい,食べてもよかった,食べて,食べて,食べよう,食べようか？,食べろ
,食べない,食べなかった,食べていない,食べていなかった,食べたくない,食べたくなかった,食べられない,食べられなかった,食べなくてもいい,食べなくてもよかった,食べないで,食べなくて,,,食べるな
,食べます,食べました,食べています,食べていました,食べたいです,食べたかったです,食べられます,食べられました,食べてもいいです,食べてもよかったです,食べてください,食べまして,食べましょう,食べましょうか？,食べなさい
,食べません,食べませんでした,食べていません,食べていませんでした,食べたくないです,食べたくなかったです,食べられません,食べられませんでした,食べなくてもいいです,食べなくてもよかったです,食べないでください,食べませんでして,,,食べてはいけません
listen,聞く,聞いた,聞いている,聞いていた,聞きたい,聞きたかった,聞こえる,聞こえた,聞いてもいい,聞いてもよかった,聞いて,聞いて,聞こう,聞こうか？,聞け
,聞かない,聞かなかった,聞いていない,聞いていなかった,聞きたくない,聞きたくなかった,聞こえない,聞こえなかった,聞かなくてもいい,聞かなくてもよかった,聞かないで,聞かなくて,,,聞くな
,聞きます,聞きました,聞いています,聞いていました,聞きたいです,聞きたかったです,聞こえます,聞こえました,聞いてもいいです,聞いてもよかったです,聞いてください,聞きまして,聞きましょう,聞きましょうか？,聞きなさい
,聞きません,聞きませんでした,聞いていません,聞いていませんでした,聞きたくないです,聞きたくなかったです,聞こえません,聞こえませんでした,聞かなくてもいいです,聞かなくてもよかったです,聞かないでください,聞きませんでして,,,聞いてはいけません
come,くる,きた,きている,きていた,きたい,きたかった,こられる,こられた,きてもいい,きてもよかった,きて,きて,こよう,こようか？,こい
,こない,こなかった,きていない,きていなかった,きたくない,きたくなかった,こられない,こられなかった,こなくてもいい,こなくてもよかった,こないで,こなくて,,,くるな
,きます,きました,きています,きていました,きたいです,きたかったです,こられます,こられました,きてもいいです,きてもよかったです,きてください,きまして,きましょう,きましょうか？,きなさい
,きません,きませんでした,きていません,きていませんでした,きたくないです,きたくなかったです,こられません,こられませんでした,こなくてもいいです,こなくてもよかったです,こないでください,きませんでして,,,きてはいけません
read,読む,読んだ,読んでいる,読んでいた,読みたい,読みたかった,読める,読めた,読んでもいい,読んでもよかった,読んで,読んで,読もう,読もうか？,読め
,読まない,読まなかった,読んでいない,読んでいなかった,読みたくない,読みたくなかった,読めない,読めなかった,読まなくてもいい,読まなくてもよかった,読まないで,読まなくて,,,読むな
,読みます,読みました,読んでいます,読んでいました,読みたいです,読みたかったです,読めます,読めました,読んでもいいです,読んでもよかったです,読んでください,読みまして,読みましょう,読みましょうか？,読みなさい
,読みません,読みませんでした,読んでいません,読んでいませんでした,読みたくないです,読みたくなかったです,読めません,読めませんでした,読まなくてもいいです,読まなくてもよかったです,読まないでください,読みませんでして,,,読んではいけません
watch/look,見る,見た,見ている,見ていた,見たい,見たかった,見える,見えた,見てもいい,見てもよかった,見て,見て,見よう,見ようか？,見ろ
,見ない,見なかった,見ていない,見ていなかった,見たくない,見たくなかった,見えない,見えなかった,見なくてもいい,見なくてもよかった,見ないで,見なくて,,,見るな
,見ます,見ました,見ています,見ていました,見たいです,見たかったです,見えます,見えました,見てもいいです,見てもよかったです,見てください,見まして,見ましょう,見ましょうか？,見なさい
